Locality,Country,Territorial Unit,Joining Year,Bioregion,Status,Population,Consortium Partner 1,Consortium Partner 2,Consortium Partner 3,Current Projects,Total Population,Total Fab Labs,% College Graduates,Research Funding,Estimated CO2 Emissions,Recycling Rate,Manufacturing Value-Added p/Capita,Domestic Material Consumption p/Capita,Employment in Circular-Economy Sectors (% of Total Employment),Local-Supplier Procurement Ratio
Rennes,France,Region,2019,West European Coastal Mixed Forests,Active,Medium,"Rennes, Ville et Métropole",LabFab,-,,226304,6,37%,$25000000.00,1.7,37.0%,$0.00,11.1,2%,55%
Sacramento,USA,City,2016,Greater California,Inactive,Large,City of Sacramento,HackerLab,-,,525041,3,38%,$5000000.00,4.7,37.0%,$0.00,17.0,2%,5%
Santiago de Chile,Chile,City,2017,Chilean Matorral Shrublands & Savanna,Active,Large,Municipalidad de Santiago,Fab Lab Santiago,-,"reactivation of Fab City Santiago de Chile together with local governments,Working to have other cities in Santiago join the network",6200000,7,27%,$35000000.00,2.1,4.0%,$2342.60,14.2,1%,37%
Sao Paulo,Brazil,City,2019,Brazilian Atlantic Moist Forests (Mata Atlântica),Active,Mega,Cidade de São Paulo,FabLab LivreSP,ITS Brasil,,12330000,8,18%,$50000000.00,2.1,4.0%,$0.00,19.2,1%,98%
Seoul,South Korea,City,2018,Korean Peninsula Mixed Forests,Inactive,Large,Seoul Metropolitan Government,Seoul Innovation FabLab,-,,9765000,12,68%,$150000000.00,4.5,68.0%,$11600.00,19.6,1%,74%
Shenzhen,China,City,2016,South China Subtropical Evergreen & Monsoon Forests,Active,Mega,Seeed Studio,Chaihuo Makers,-,,17600000,8,48%,$50000000.00,7.1,43.0%,$0.00,226.7,1%,
Somerville,USA,City,2015,Northeastern American,Inactive,Small,City of Somerville,FabVille,-,,80436,2,74%,$5000000.00,0.0,37.0%,$0.00,19.2,1%,37%
Sorocaba,Brazil,City,2018,Brazilian Atlantic Moist Forests (Mata Atlântica),Active,Medium,Prefeitura de Sorocaba,Facens,-,,723574,2,17%,$0.00,0.0,3.0%,$0.00,19.6,9%,80%
Südburgenland,Austria,Region,2022,Alps & Po Basin Mixed Forests,Active,Medium,Marktgemeinde Kohfidisch,Open Land Lab,Cademix Institute of Technology,"Refurbishment of the OpenLandLAB,WakeUp FAB Region Südburgenland,Implementation of bioregional mapping methodology from Atelier LUMA,FAB25 partnership with FAB Region Bergisches Städtedreieck,Strategic discussion with Josef Prusa on the future of open hardware",99000,1,14%,$0.00,0.0,63.0%,$0.00,18.0,2%,38%
Sumedang,Indonesia,City,2022,Javan-Bali Tropical Rainforests,Active,Large,Kabupaten Sumedang,Fab City Indonesia,-,,1130000,0,12%,$0.00,2.1,12.0%,$0.00,4.1,1%,82%
Tanga,Tanzania,City,2024,Not Specified,Active,Large,Tanga City Council,Tanzania Open Innovation Organisation,Tanga Yetu,"STEM Park Tanga City,Digital Fabrication and Innovation,Educational Enhancements,TangaYetu Partners Orientation Workshop,14th Steering Committee Meeting,OMAT (Okoa Maisha kwa Takwimu),Youth Economic Empowerment Projects",2730000,0,7%,$0.00,0.2,4.0%,$0.00,2.6,1%,73%
Toulouse,France,City,2016,West European Coastal Mixed Forests,Active,Large,Toulouse Marie-Métropole,Artilect,-,,504078,8,37%,$85000000.00,2.1,37.0%,$0.00,13.7,2%,37%
Valence Romans Agglo,France,Region,2020,Balearic Sea & West Mediterranean Mixed Forests,Active,Medium,Valence Romans Agglo,FABT,-,,135000,2,27%,$0.00,0.0,37.0%,$0.00,14.2,2%,37%
Veberöd,Sweden,City,2021,West European Coastal Mixed Forests,Active,Very Small,Lund Municipality,Veberöd,-,Developing a village as a research village,5400,1,32%,$0.00,0.3,34.0%,$0.00,19.2,1%,66%
Velsen,Netherlands,Region,2018,West European Coastal Mixed Forests,Active,Small,Gemeente Velsen,Fab City Nature,COUP,,68700,1,34%,$0.00,5.2,57.0%,$0.00,19.2,8%,67%
Yucatán,Mexico,Region,2019,Yucatan & Veracruz Mixed Forests,Active,Large,Gobierno de Yucatan,AC Fab City Yucatan,Fab Lab Yucatan,,2394000,2,18%,$3500000.00,1.6,9.3%,$0.00,5.0,0%,95%
Zadar,Croatia,City,2020,Adriatic Sea & Central Mediterranean Mixed Forests,Inactive,Small,Grad Zadar,-,-,,75000,1,18%,$0.00,2.5,37.0%,$0.00,15.2,2%,13%
Zagreb,Croatia,City,2018,Carpathian Mountain & Plains Mixed Forests,Active,Medium,Grad Zagreb,FABLAB.HR,-,"Fab City Zagreb Experience Lab,Fab City Hub in Sesvete,8-Week Participatory Workshop,Building Local Ecosystems for STEAM as a Driver for Development",767131,3,32%,$25000000.00,3.7,37.0%,$0.00,19.7,3%,50%
